26002538;VGO-GI;HLB_Grb;VGO;11;1;20120828;1405;1;008804;31;12598;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120828;;; 
25996297;VGO-GI;HLB_Grb;VGO;11;1;20120822;0833;1;008804;31;7329;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120822;;; 
25996954;VGO-GI;HLB_Grb;VGO;11;1;20120820;1555;1;008804;31;12818;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120820;;; 
25996952;VGO-GI;HLB_Grb;VGO;11;1;20120820;1532;1;008804;31;12818;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120820;;; 
25997482;VGO-GI;HLB_Grb;VGO;11;1;20120823;0852;1;008804;31;18027;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120823;;; 
25996684;VGO-GI;HLB_Grb;VGO;11;1;20120822;1932;1;008804;31;12682;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120822;;; 
25996681;VGO-GI;HLB_Grb;VGO;11;1;20120822;1754;1;008804;31;12682;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120822;;; 
25989848;VGO-GI;HLB_Grb;VGO;11;1;20120814;1334;1;008804;31;12626;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120814;;; 
25988812;VGO-GI;HLB_Grb;VGO;11;1;20120815;0903;1;008804;31;18027;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120815;;; 
25988767;VGO-GI;HLB_Grb;VGO;11;1;20120810;1103;1;008804;31;18027;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120810;;; 
25989191;VGO-GI;HLB_Grb;VGO;11;1;20120810;1522;1;008804;31;12674;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120810;;; 
25989906;VGO-GI;HLB_Grb;VGO;11;1;20120817;1933;1;008804;31;12626;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120817;;; 
25989895;VGO-GI;HLB_Grb;VGO;11;1;20120817;1253;1;008804;31;12626;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120817;;; 
25989889;VGO-GI;HLB_Grb;VGO;11;1;20120817;1054;1;008804;31;12626;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120817;;; 
25989871;VGO-GI;HLB_Grb;VGO;11;1;20120815;1332;1;008804;31;12626;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120815;;; 
25989071;VGO-GI;HLB_Grb;VGO;11;1;20120803;1932;1;008804;31;12674;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120803;;; 
25985384;VGO-GI;HLB_Grb;VGO;11;1;20120808;1333;1;008804;31;12565;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120808;;; 
25985372;VGO-GI;HLB_Grb;VGO;11;1;20120808;1106;1;008804;31;12565;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120808;;; 
25985345;VGO-GI;HLB_Grb;VGO;11;1;20120807;1403;1;008804;31;12565;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120807;;; 
25985302;VGO-GI;HLB_Grb;VGO;11;1;20120806;0650;1;008804;31;12565;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120806;;; 
25988228;VGO-GI;HLB_Grb;VGO;11;1;20120816;0834;1;008804;31;12530;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120816;;; 
25979449;VGO-GI;HLB_Grb;VGO;11;1;20120803;1333;1;008804;31;16968;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120803;;; 
25979414;VGO-GI;HLB_Grb;VGO;11;1;20120803;0650;1;008804;31;16968;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120803;;; 
25979378;VGO-GI;HLB_Grb;VGO;11;1;20120801;1335;1;008804;31;16968;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120801;;; 
25980107;VGO-GI;HLB_Grb;VGO;11;1;20120801;0735;1;008804;31;12530;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120801;;; 
25984872;VGO-GI;HLB_Grb;VGO;11;1;20120808;1406;1;008804;31;12530;1;1,3;0,4;31;1455;1455;0;1414;71;1;;20120808;;; 
